vY0            -14.4913767462
G              30.0
TIME           0.01
pixels/metre   28.8571428571
apex time s    0.4830458915
apex pixels    -101.0000000000  (negative = upward in metres, EasyX y goes down)
ticks to V_MAX holding D on T2: 40
u T1/T2/T3     0.533333  0.222222  0.177778

tick  t_s        vY            y_metres       y_pixels
   0    0.0000    -14.491377      0.000000        0.0000
   1    0.0100    -14.191377     -0.143414       -4.1385
   2    0.0200    -13.891377     -0.283828       -8.1905
   3    0.0300    -13.591377     -0.421241      -12.1558
   4    0.0400    -13.291377     -0.555655      -16.0346
   5    0.0500    -12.991377     -0.687069      -19.8268
   6    0.0600    -12.691377     -0.815483      -23.5325
   7    0.0700    -12.391377     -0.940896      -27.1516
   8    0.0800    -12.091377     -1.063310      -30.6841
